"month","treated_mean","control_mean","gap"
2019-01-01,"30,630.4386666667",852.58,"29,777.8586666667"
2019-02-01,"25,484.1378571429",814.6175,"24,669.5203571429"
2019-03-01,"27,000.7346666667","1,349.2525","25,651.4821666667"
2019-04-01,"29,184.93","1,331.5525","27,853.3775"
2019-05-01,"22,980.1846666667","1,114.205","21,865.9796666667"
2019-06-01,"23,742.506",819.1233333333,"22,923.3826666667"
2019-07-01,"27,835.848","1,274.76","26,561.088"
2019-08-01,"28,752.564375",756.3033333333,"27,996.2610416667"
2019-09-01,"26,703.9533333333",497.26,"26,206.6933333333"
2019-10-01,"32,421.9057142857",868.24,"31,553.6657142857"
2019-11-01,"49,170.0536363636",383.96,"48,786.0936363636"
2019-12-01,"43,164.6292307692",,
